Wall time,Step,Value
1669433605.418325,0,1.2303920984268188
1669433687.173967,1,0.37250426411628723
1669433768.728622,2,0.19897668063640594
1669433850.399262,3,0.10917045176029205
1669433931.772143,4,0.0660935640335083
1669434013.615521,5,0.04612778127193451
1669434092.59452,6,0.03450932726264
1669434172.270731,7,0.02653595432639122
1669434252.142664,8,0.024351902306079865
1669434331.784861,9,0.023096714168787003
1669434412.251559,10,0.0238263588398695
1669434490.724081,11,0.022998258471488953
1669434573.635852,12,0.01634148322045803
1669434654.755976,13,0.019911346957087517
1669434733.240617,14,0.03770202025771141
1669434811.970897,15,0.0672348290681839
